id,question,option1,option2,option3,option4,correctAnswer,rationale
Question 1,"A client with untreated hypertension has BP 214/126 mm Hg, new confusion, blurred vision, and creatinine that increased from 0.9 to 2.3 mg/dL. Which interpretation should guide the nurse's immediate plan?",Severe asymptomatic hypertension requiring routine follow-up,Chronic hypertension with expected age-related renal changes,Hypertensive emergency with acute target-organ injury,Anxiety-related hypertension requiring observation only,C,"The new neurologic changes and acute creatinine increase indicate target-organ injury accompanying severe hypertension. This requires emergency treatment and monitoring. The BP number alone does not distinguish emergency from severe hypertension without acute injury. (Source: Ch31 slides 27, 118, 121; teacher outline: hypertensive crisis.)"
Question 2,The nurse receives reports on four clients. Which client should be assessed first?,A client with BP 198/120 mm Hg and new right-arm weakness and slurred speech,"A client with BP 206/116 mm Hg, no symptoms, and an unchanged neurologic examination",A client with BP 168/96 mm Hg and a history of stable chronic kidney disease,A client with BP 156/90 mm Hg who requests teaching about a low-sodium diet,A,"New focal neurologic deficits suggest acute cerebral injury and require immediate stroke evaluation. They take priority over a higher BP reading without evidence of acute injury. Chronic disease and teaching needs do not have the same immediate urgency. (Source: Ch31 slides 27, 59, 61; teacher outline: priority assessments.)"
Question 3,"A client with a confirmed hypertensive emergency is on continuous monitoring, has patent IV access, and has SpO2 97% on room air. Which prescribed intervention should the nurse implement first?",Administer the scheduled oral statin for an LDL level of 184 mg/dL,Arrange a dietary consultation for a sodium-restricted meal plan,Collect the scheduled fasting lipid panel before beginning treatment,Begin the prescribed titratable IV antihypertensive with frequent BP reassessment,D,"Treating the emergency BP and limiting further organ injury take priority over lipid testing, statin administration, and dietary teaching. True hypertensive emergencies generally require monitored IV treatment; the oral-drug example in the course case should not be generalized to all emergencies. (Source: Ch31 slides 121–122; teacher outline: priority sequencing; AHA 2024 clinical clarification.)"
Question 4,"A client with BP 186/118 mm Hg has glucose 248 mg/dL, LDL 181 mg/dL, BUN 34 mg/dL, creatinine 2.4 mg/dL (baseline 1.0), and new urine protein. Which finding most directly supports acute renal involvement?",The elevated LDL together with the elevated blood glucose,The creatinine increase together with new protein in the urine,The systolic BP together with a family history of hypertension,The elevated glucose together with a history of cigarette smoking,B,"A rising creatinine and new proteinuria point to impaired kidney function and renal injury. Hyperglycemia, dyslipidemia, smoking, and family history increase vascular risk but do not by themselves demonstrate acute renal dysfunction. (Source: Ch31 slides 27, 118; teacher outline: full data-set interpretation.)"
Question 5,"During treatment of a hypertensive emergency, BP improves to the prescribed range. The client becomes harder to arouse, and urine output falls from 45 to 12 mL in the last hour. What is the nurse's best response?",Document that the BP goal has been reached and continue routine observations,Encourage sleep because fatigue is expected when the BP begins to decrease,Immediately reassess perfusion and alert the treating team about the deterioration,Offer additional oral fluids and wait for the next scheduled laboratory results,C,"A better BP number does not establish adequate organ perfusion. Decreasing alertness and oliguria indicate possible worsening cerebral and renal perfusion and need prompt evaluation. Oral fluids or delayed reassessment do not address the acute change. (Source: Ch31 slides 27, 123, 130–131; teacher outline: evaluating response.)"
Question 6,"A client says, ""My BP has been normal for a week, so I will take my medication only when I get a headache."" Which response is best?",Checking for a headache is a reasonable way to decide when the next dose is needed,Normal readings may reflect treatment; continue the prescribed schedule and follow the provider's hold instructions,Skip medication on normal-BP days and take an extra dose if the pressure rises,"After a week of normal readings, lifestyle measures can replace the prescription",B,"Hypertension is often asymptomatic, and controlled readings may mean the medication is working. Consistent use, within prescribed parameters, helps prevent organ injury. Symptom-based dosing, doubling doses, or stopping without guidance can disrupt control. (Source: Ch31 slides 25, 29, 125; teacher outline: adherence.)"
Question 7,A client started on antihypertensive therapy feels dizzy immediately after standing. The nurse assists the client back to a safe seated position. Which teaching should follow?,Sit at the bedside before standing and rise slowly with assistance if dizzy,Avoid walking during the day so the medication can reach its full effect,Take the next dose early to prevent another episode of dizziness,Restrict all fluids for the rest of the day to stabilize the circulation,A,"Slow position changes reduce falls associated with orthostatic symptoms. Ongoing symptoms require assessment, but prolonged inactivity, an extra or early dose, and indiscriminate fluid restriction do not correct the problem and may worsen risk. (Source: Ch31 slides 124; teacher outline: orthostatic safety.)"
Question 8,"A client is prescribed the course's 1,600-mg daily sodium limit. Breakfast contained 350 mg, lunch 480 mg, and a snack 170 mg. Which dinner meets the remaining daily allowance?",A dinner labeled as containing 640 mg of sodium,A dinner labeled as containing 720 mg of sodium,A dinner labeled as containing 810 mg of sodium,A dinner labeled as containing 560 mg of sodium,D,"The client has consumed 350 + 480 + 170 = 1,000 mg, leaving 600 mg. The 560-mg dinner gives a daily total of 1,560 mg. Each other dinner would exceed the specifically prescribed 1,600-mg limit. (Source: Ch31 slides 28–29; teacher outline: DASH sodium target.)"
Question 9,A client asks why years of poorly controlled hypertension can eventually weaken the left ventricle. Which explanation is most accurate?,The ventricle receives less venous blood because hypertension consistently lowers circulating volume,"The ventricle pumps against increased resistance, which can cause remodeling and eventual dysfunction",The ventricle stops relaxing because high BP prevents the atrioventricular valves from opening,The ventricle becomes weaker because hypertension initially eliminates its need to contract forcefully,B,"Chronic elevation of vascular resistance increases afterload and cardiac workload. Over time, ventricular remodeling can progress to impaired pumping. This mechanism is not explained by reliably decreased circulating volume, valve closure, or reduced work. (Source: Ch31 slides 24, 26; teacher outline: hypertension complications.)"
Question 10,"A 68-year-old client has high LDL, smokes daily, rarely exercises, and has a parent who died of a stroke. Which plan best addresses modifiable atherosclerosis risks?",Focus on the family history because inherited risk makes lifestyle changes ineffective,Delay changes until leg pain or chest pain confirms that plaque is affecting blood flow,"Set a smoking-cessation plan, increase appropriate activity, and follow lipid-lowering treatment",Replace the statin with exercise once the client can walk without shortness of breath,C,"Smoking, activity, and dyslipidemia are modifiable risks. Age and family history cannot be changed, but they do not make prevention futile. Atherosclerosis can be asymptomatic; medication changes should not be made solely because exercise is tolerated. (Source: Ch31 slides 3, 7, 14; teacher outline: risk factors.)"
