id,question,option1,option2,option3,option4,correctAnswer,rationale
Question 1,"According to the introduction slides, the endocrine system helps coordinate which body function?",Blood clotting only,Metabolism,Hearing,Vision only,B,"The introduction slide states that the endocrine system coordinates metabolism, growth and development, blood glucose control, and sexual functioning."
Question 2,Which concept explains how endocrine glands decrease hormone secretion once enough hormone is present?,Positive pressure,Negative feedback,Osmotic shift,Diffusion gradient,B,The introduction slide specifically lists the negative feedback system as a key principle of endocrine regulation.
Question 3,The parathyroid glands secrete which hormone?,Calcitonin,TSH,Parathyroid hormone,ADH,C,"The parathyroid gland slide states that the parathyroid glands secrete parathyroid hormone, or PTH."
Question 4,Parathyroid hormone is secreted in response to which finding?,Low calcium levels,High potassium levels,High glucose levels,Low sodium levels,A,The slide states that parathyroid hormone is secreted in response to low calcium levels.
Question 5,Parathyroid hormone increases calcium absorption in which areas?,"Heart, lungs, and liver","Bones, kidneys, and intestine","Skin, brain, and spleen","Pancreas, stomach, and colon",B,"The teacher's slide says PTH increases calcium absorption in the bones, kidneys, and intestine."
Question 6,Gonadotropin-releasing hormone from the hypothalamus stimulates the anterior pituitary to release which two hormones?,T3 and T4,ACTH and cortisol,FSH and LH,Insulin and glucagon,C,The gonads slide states that gonadotropin-releasing hormone stimulates the anterior pituitary to release follicle-stimulating hormone and luteinizing hormone.
Question 7,"In the male, FSH and LH stimulate production of which hormone according to the gonads slide?",Estrogen,Progesterone,Testosterone,Thyroxine,C,"The gonads slide states that in the male, FSH and LH stimulate production of testosterone."
Question 8,"The teacher emphasized that in females, FSH and LH stimulate production of estrogen and progesterone, which influence:",Kidney filtration only,Ovarian maturation and ovulation,Liver detoxification,Platelet formation,B,The slide specifically lists ovarian maturation and ovulation as effects of estrogen and progesterone in females.
Question 9,The pancreas has both endocrine and exocrine function and helps control blood glucose with which hormones?,ACTH and cortisol,Insulin and glucagon,T3 and T4,FSH and LH,B,The pancreas slide lists insulin and glucagon as the hormones involved in blood glucose control.
Question 10,"When taking an endocrine history, which finding did the teacher specifically include as important to ask about?",Hand dominance,Sleep pattern,Favorite foods only,Visual acuity only,B,The assessment slide lists sleep pattern as one of the important history areas.
Question 11,"During the physical assessment of a patient with a possible thyroid disorder, the nurse should auscultate the thyroid for which sound?",Crackles,Murmur,Bruit,Friction rub,C,The physical assessment slide specifically says to auscultate the thyroid for a bruit.
Question 12,"When palpating the thyroid, which characteristics should the nurse assess?",Pupil response and gait,"Size, symmetry, shape, nodules, and texture",Reflexes and hearing,Peripheral pulses only,B,"The physical assessment slide lists size, symmetry, shape, nodules, and texture."
Question 13,Which laboratory studies were stressed as the major thyroid hormone tests?,"BUN, creatinine, and calcium","TSH, T3, and T4","Hgb, Hct, and platelets","AST, ALT, and bilirubin",B,"The diagnostic studies slide specifically lists TSH, T3, and T4."
Question 14,"Which imaging study did the lecture repeatedly emphasize as an easy, noninvasive way to look at endocrine organs such as the thyroid?",PET scan,Ultrasound,Bone scan,Angiography,B,The lecture repeatedly stressed ultrasound as the easiest noninvasive imaging study for many endocrine organs.
Question 15,The hypothalamus is best described as:,A gland above the kidneys,The structure under the thalamus that regulates other endocrine glands,The posterior thyroid lobe,A pancreatic structure that secretes insulin,B,The hypothalamus and pituitary slide states that the hypothalamus is under the thalamus and its hormones act directly on other endocrine glands.
Question 16,The pituitary gland is located where?,At the base of the brain,In the thyroid,On top of each kidney,In the left upper quadrant of the abdomen,A,The pituitary slide states that the pituitary gland is located at the base of the brain.
Question 17,Hypopituitarism usually becomes clinically obvious after what happens?,The posterior pituitary enlarges,The majority of the anterior pituitary becomes nonfunctional or destroyed,The thyroid gland is removed,The adrenal medulla stops making catecholamines,B,The hypopituitarism slide states that onset is gradual and occurs after the majority of the anterior pituitary is nonfunctional or destroyed.
Question 18,Which finding is most consistent with low ACTH in hypopituitarism?,Hypernatremia,Hypoglycemia,Polyuria,Hypercalcemia,B,The ACTH hypopituitarism slide lists hypoglycemia as a manifestation of decreased glucocorticoids.
Question 19,"A patient with hypopituitarism develops hyponatremia, hypotension, and hyperkalemia. Deficiency of which hormone is most related to these findings?",Growth hormone,ACTH,FSH,TSH,B,"The ACTH slide links decreased mineralocorticoids with hyponatremia, hypotension, and hyperkalemia."
Question 20,Which finding is expected with growth hormone deficiency in hypopituitarism?,Increased bone density,Decreased bone density,Exophthalmos,Hypertension,B,"The growth hormone hypopituitarism slide states decreased bone density, decreased muscle strength, and increased fracture risk."
Question 21,A female patient with hypopituitarism has irregular menses and decreased ovulation. This is most related to deficiency of:,LH,ADH,Calcitonin,Insulin,A,The luteinizing hormone slide lists irregular menses or amenorrhea and decreased ovulation in females.
Question 22,A male patient with hypopituitarism has decreased sperm production. Which pituitary hormone deficiency is most related?,TSH deficiency,FSH deficiency,ACTH deficiency,ADH deficiency,B,"The FSH slide states that in males, decreased sperm production is associated with low follicle-stimulating hormone."
Question 23,"A patient with hypopituitarism has weight gain, thinning hair, and decreased libido due to low T3 and T4. Which hormone is deficient?",TSH,PTH,GH,Prolactin,A,"The TSH slide lists decreased T3 and T4, decreased metabolic rate, weight gain, thinning of hair, and decreased libido."
Question 24,Which diagnostic tests are specifically listed for hypopituitarism?,"ACTH stimulation test, hormone levels, CT, and MRI",Only chest x-ray and ECG,Only thyroid ultrasound,Urine catecholamines only,A,"The diagnosis slide lists ACTH stimulation test, TSH/FSH/LH/prolactin/growth hormone, CT scan, and MRI."
